278,132,-34,-2,2,0,1,-33,-35,-32,7,-1,-1,
329,132,-34,-2,2,0,1,-33,-35,-32,13,-2,-2,
372,132,-34,-2,2,-1,1,-33,-35,-32,17,-3,-3,
413,132,-34,-2,2,-1,1,-33,-35,-32,21,-4,-4,
485,132,-34,-2,2,0,1,-33,-35,-32,23,-5,-5,
526,132,-34,-2,2,0,1,-33,-35,-32,26,-5,-5,
567,132,-34,-1,2,0,1,-33,-35,-32,28,-6,-6,
610,132,-34,-1,2,0,1,-33,-35,-32,29,-6,-6,
651,132,-34,-1,2,0,1,-33,-35,-32,30,-6,-6,
692,132,-34,-1,2,0,1,-33,-35,-32,31,-7,-7,
733,133,-34,-1,1,-1,1,-33,-35,-32,32,-7,-7,
774,133,-34,-1,2,0,1,-33,-35,-32,33,-7,-7,
819,133,-34,-1,1,0,1,-33,-35,-32,33,-7,-7,
970,133,-33,-1,2,0,1,-33,-35,-32,34,-7,-7,
1165,133,-33,-1,2,0,1,-33,-35,-32,34,-7,-7,
1206,133,-33,-1,1,0,1,-33,-35,-32,34,-7,-7,
1249,133,-33,-1,2,0,1,-33,-35,-32,34,-7,-7,
1290,133,-33,-1,1,0,1,-33,-35,-32,34,-7,-7,
1331,133,-33,-1,1,0,1,-33,-35,-32,35,-7,-7,
1372,133,-33,-1,1,0,1,-33,-35,-32,35,-7,-7,
1413,133,-33,-1,1,0,1,-33,-35,-32,35,-7,-7,
1456,134,-33,-1,1,0,1,-33,-35,-32,35,-7,-7,
1497,133,-33,-1,1,0,1,-33,-35,-28,35,-7,-7,
1538,134,-33,-1,1,0,1,-33,-35,-32,35,-7,-7,
1583,134,-33,-1,1,0,1,-33,-35,-32,35,-7,-7,
1656,134,-33,-1,1,0,1,-33,-35,-32,35,-7,-7,
1697,134,-33,-1,1,0,1,-33,-35,-32,35,-7,-8,
1738,134,-33,-1,1,0,1,-33,-35,-32,35,-7,-8,
1779,134,-33,0,1,0,0,-33,-35,-32,35,-7,-8,
1822,134,-33,0,1,0,0,-33,-35,-32,35,-7,-8,
1990,134,-33,0,1,0,1,-33,-35,-32,35,-7,-8,
