Var1,Psi,Theta,Phi,Psi_dt,Theta_dt,Phi_dt,X,Y,Z,X_M,Y_M,Z_M
1,-47.9571576666667,0.777667666666667,-4.96546700000001,-0.0641717777777778,0.0747011111111111,-0.300800333333333,0.540455,0.108963888888889,9.98353044444444,24.9027777777778,20.1875,-4.31944444444444
2,-48.0670332222221,0.728689888888889,-4.85242033333333,-0.0621162222222222,0.0722188888888889,-0.292053666666666,0.453285,0.0217927777777778,9.89844488888889,24.8333333333333,20.1875,-4.45833333333333
3,-48.1769087777777,0.679712111111111,-4.73937366666667,-0.0600606666666667,0.0697366666666666,-0.283307,0.379190333333333,-0.0523023333333333,9.86441066666667,24.7638888888889,20.1875,-4.59722222222222
4,-48.2867843333333,0.630734333333334,-4.626327,-0.0580051111111111,0.0672544444444444,-0.274560333333333,0.405341222222222,-0.078453,9.89844466666667,24.6944444444444,20.1875,-4.73611111111111
5,-48.3966598888888,0.581756555555556,-4.51328033333334,-0.0559495555555555,0.0647722222222222,-0.265813666666667,0.427134,-0.078453,9.85590188888889,24.625,20.1875,-4.875
6,-48.5065354444444,0.532778777777778,-4.40023366666667,-0.053894,0.06229,-0.257067,0.418417333333333,-0.0523023333333333,9.86441033333333,24.5555555555556,20.1875,-5.01388888888889
7,-48.616411,0.483801,-4.287187,-0.0518384444444445,0.0598077777777778,-0.248320333333333,0.431493,-0.039227,9.84739344444444,24.4861111111111,20.1875,-5.15277777777778
8,-48.7262865555556,0.434823222222222,-4.17414033333334,-0.0497828888888889,0.0573255555555556,-0.239573666666667,0.501229,-0.039227,9.838885,24.5416666666667,20.2083333333333,-5.25
9,-48.8361621111111,0.385845444444445,-4.06109366666666,-0.0477273333333333,0.0548433333333333,-0.230827,0.470719,0,9.915462,24.8611111111111,20.2222222222222,-5.30555555555556
10,-48.9460376666667,0.336867666666667,-3.948047,-0.0456717777777778,0.0523611111111111,-0.222080333333333,0.470719,-0.00435855555555555,9.838885,25.1041666666667,20.1180555555556,-5.47916666666667
11,-49.0559132222222,0.287889888888889,-3.83500033333334,-0.0436162222222222,0.0498788888888889,-0.213333666666667,0.444567888888889,-0.056661,9.84739344444444,25.3125,20.1458333333333,-5.64583333333333
12,-49.1657887777777,0.238912111111111,-3.72195366666667,-0.0415606666666667,0.0473966666666667,-0.204587,0.366114666666667,-0.091529,9.86441033333334,25.6180555555556,20.4305555555556,-5.6875
13,-49.2756643333333,0.189934333333333,-3.608907,-0.0395051111111111,0.0449144444444444,-0.195840333333333,0.427134,-0.0566607777777778,9.87291922222222,25.6875,20.6111111111111,-5.96527777777778
14,-49.3855398888888,0.140956555555556,-3.49586033333333,-0.0374495555555556,0.0424322222222222,-0.187093666666667,0.470719,-0.0566607777777778,9.83038311111111,25.5,20.5625,-5.9375
15,-49.4954154444444,0.0919787777777779,-3.38281366666667,-0.035394,0.03995,-0.178347,0.470719,-0.0653776666666667,9.81336333333333,25.7777777777778,20.6319444444444,-6.1875
16,-49.605291,0.0430010000000001,-3.269767,-0.0333384444444444,0.0374677777777778,-0.169600333333333,0.531738,-0.0479438888888889,9.77933444444444,25.4722222222222,20.7152777777778,-6.15972222222222
17,-49.7151665555556,-0.00597677777777783,-3.15672033333334,-0.0312828888888889,0.0349855555555556,-0.160853666666667,0.514304444444444,-0.0740945555555556,9.72828533333333,25.375,20.7291666666667,-6
18,-49.8250421111111,-0.0549545555555555,-3.04367366666667,-0.0292273333333333,0.0325033333333333,-0.152107,0.470719,-0.039227,9.838885,25.2083333333333,20.5625,-5.76388888888889
19,-49.9349176666667,-0.103932333333333,-2.930627,-0.0271717777777778,0.0300211111111111,-0.143360333333333,0.470719,-0.0828115555555556,9.804861,24.7569444444444,20.2847222222222,-5.65972222222222
20,-50.0447932222222,-0.152910111111111,-2.81758033333333,-0.0251162222222222,0.0275388888888889,-0.134613666666667,0.470719,-0.108962888888889,9.81336188888889,24.6458333333333,20.1458333333333,-5.39583333333333
21,-50.1546687777778,-0.201887888888889,-2.70453366666667,-0.0230606666666667,0.0250566666666667,-0.125867,0.470719,-0.0653702139076622,9.74957121594333,24.8333333333333,20.1875,-5.25
22,-50.3089216666667,-0.162325,-2.503135,-0.0210051111111111,0.0225744444444444,-0.117120333333333,0.45327281510099,-0.039227,9.81763210695405,24.7638888888889,20.0208333333333,-4.97222222222222
23,-50.544428,0.0393944444444445,-2.459478,-0.0189495555555556,0.0200922222222222,-0.108373666666667,0.475078,-0.0610192222222222,9.838885,24.8125,19.875,-4.75
24,-50.8159597777778,0.246749555555556,-2.38730711111111,-0.016894,0.01761,-0.099627,0.457644,-0.0523023333333333,9.838885,24.8125,19.7708333333333,-4.82638888888889
25,-51.101389,0.35561,-2.334518,-0.0148384444444444,0.0151277777777778,-0.0908803333333333,0.431493,-0.0697361111111111,9.74955411111111,24.8541666666667,19.9513888888889,-4.9375
26,-51.329903,0.350826888888889,-2.41141355555556,-0.0127828888888889,0.0126455555555556,-0.0821336666666667,0.466360555555556,-0.008717,9.79209944444444,24.9583333333333,20.1041666666667,-4.9375
27,-51.5342038888889,0.291732444444444,-2.58230955555556,-0.0107273333333333,0.0101633333333333,-0.073387,0.431493,-0.039227,9.838885,24.8472222222222,20.1736111111111,-4.99305555555556
28,-51.615359,0.192696666666667,-2.61408733333333,-0.00867177777777778,0.00768111111111111,-0.0646403333333333,0.431493,0.0305098888888889,9.77933577777778,24.6041666666667,20.0347222222222,-5.0625
29,-51.6187563333333,0.133511111111111,-2.70144777777778,-0.00661622222222222,0.00519888888888889,-0.0558936666666667,0.440209888888889,-0.039227,9.915462,24.5208333333333,19.9791666666667,-5.0625
30,-51.5576657777778,0.182985,-2.67059666666667,-0.00456066666666667,0.00271666666666667,-0.047147,0.470719,-0.0523023333333333,9.92822466666667,24.6597222222222,20.0347222222222,-5.25694444444444
31,-51.4048013333333,0.222371666666667,-2.528914,-0.00338788888888889,0.00132022222222222,-0.0408036666666667,0.453285222222222,-0.0610192222222222,9.95375,24.5763888888889,20.0625,-5.14583333333333
32,-51.3187858888889,0.291594777777778,-2.48074133333333,-0.00277922222222222,0.000963333333333333,-0.0335818888888889,0.496870222222222,-0.0174342222222222,9.95375,24.5,20.0625,-5.3125
33,-51.2149781111111,0.351439666666667,-2.48420888888889,-0.00199,0.000192,-0.018256,0.549172,0.0261513333333333,9.95375,24.5,19.8958333333333,-5.43055555555556
34,-51.082179,0.401149,-2.484637,-0.000120222222222222,0.000151222222222222,0.000923111111111111,0.549172,-0.0523018888888889,9.92397044444444,24.5,20.1180555555556,-5.43055555555556
35,-51.0466283333333,0.317597333333333,-2.74150544444444,-0.000911333333333333,0.00136877777777778,0.0113293333333333,0.514304444444444,-0.0435854444444444,9.84739355555555,24.5625,20.2708333333333,-5.625
36,-51.1073276666667,0.348220888888889,-2.87729233333333,-0.000285,0.001338,0.0215316666666667,0.509946,-0.078453,9.877173,24.5486111111111,20.2152777777778,-5.73611111111111
37,-51.1548546666667,0.328633333333333,-2.880063,-0.000141666666666667,0.000764222222222222,0.0134412222222222,0.509946,-0.0435854444444444,9.95375,24.4444444444444,20.2847222222222,-5.77083333333333
38,-51.3102604444444,0.378175111111111,-2.87860988888889,-3.5e-05,0.000182555555555556,0.00487955555555556,0.475077777777778,-0.078453,9.93673288888889,24.4583333333333,20.2291666666667,-5.60416666666667
39,-51.4370421111111,0.428134,-2.830071,-8.16666666666667e-05,8.16666666666667e-05,0.00502666666666667,0.392265666666667,-0.0653776666666667,9.83888866666667,24.6319444444444,20.4305555555556,-5.5625
40,-51.5238863333333,0.417918,-2.75859766666667,-0.000335222222222222,2.1e-05,0.00483877777777778,0.453285222222222,-0.0217927777777778,9.77933688888889,24.7430555555556,20.6111111111111,-5.67361111111111
